2.73E+02	2.68E+06
2.75E+02	3.26E+06
2.77E+02	3.95E+06
2.79E+02	4.96E+06
2.81E+02	6.18E+06
2.85E+02	9.31E+06
2.87E+02	1.18E+07
2.89E+02	1.42E+07
2.91E+02	1.75E+07
2.92E+02	2.14E+07
2.94E+02	2.62E+07
2.95E+02	3.04E+07
2.96E+02	3.58E+07
2.98E+02	4.49E+07
3.00E+02	5.77E+07
3.01E+02	6.57E+07
3.02E+02	7.85E+07
3.05E+02	9.93E+07
3.07E+02	1.21E+08
3.09E+02	1.40E+08
3.11E+02	1.68E+08
3.13E+02	2.02E+08
3.15E+02	2.41E+08
3.17E+02	3.03E+08
3.20E+02	3.73E+08
3.20E+02	4.49E+08
3.21E+02	5.43E+08
3.21E+02	5.55E+08
3.21E+02	5.80E+08
3.20E+02	6.67E+08
3.18E+02	7.94E+08
3.17E+02	8.27E+08
